L,0.000000,0.578562,0.578562,0.578562,-9.733844,-9.733844,-7.993351,-7.993351,-2.338818,-2.338818,-2.304205,-2.304205,2.896101,2.896101,4.367631,4.367631,4.380181,4.380181,9.520747,9.520747,10.333508,10.333508,10.342605,10.342605,11.574400,11.574400,13.822919,13.822919,14.254703,14.254703,14.257124,14.257124,18.139545,18.139545,18.156574,18.156574,20.529322,20.529322,20.531545,20.531545,21.389667,21.389667,27.940583,27.940583
none,0.001002,0.577984,0.577984,0.577984,-9.733851,-9.733851,-7.993337,-7.993337,-2.338813,-2.338813,-2.304200,-2.304200,2.896097,2.896097,4.367632,4.367632,4.380182,4.380182,9.520715,9.520715,10.333505,10.333505,10.342602,10.342602,11.574397,11.574397,13.822936,13.822936,14.254708,14.254708,14.257129,14.257129,18.139537,18.139537,18.156567,18.156567,20.529321,20.529321,20.531544,20.531544,21.389674,21.389674,27.940592,27.940592
none,0.002004,0.577405,0.577405,0.577405,-9.733871,-9.733871,-7.993294,-7.993294,-2.338797,-2.338797,-2.304184,-2.304184,2.896084,2.896084,4.367638,4.367638,4.380188,4.380188,9.520620,9.520620,10.333494,10.333494,10.342591,10.342591,11.574388,11.574388,13.822984,13.822984,14.254723,14.254723,14.257144,14.257144,18.139515,18.139515,18.156545,18.156545,20.529318,20.529318,20.531541,20.531541,21.389695,21.389695,27.940618,27.940618
none,0.003006,0.576827,0.576827,0.576827,-9.733906,-9.733906,-7.993222,-7.993222,-2.338771,-2.338771,-2.304158,-2.304158,2.896062,2.896062,4.367646,4.367646,4.380196,4.380196,9.520461,9.520461,10.333477,10.333477,10.342573,10.342573,11.574372,11.574372,13.823066,13.823066,14.254748,14.254748,14.257169,14.257169,18.139479,18.139479,18.156508,18.156508,20.529312,20.529312,20.531535,20.531535,21.389729,21.389729,27.940661,27.940661
none,0.004008,0.576248,0.576248,0.576248,-9.733954,-9.733954,-7.993122,-7.993122,-2.338734,-2.338734,-2.304121,-2.304121,2.896031,2.896031,4.367659,4.367659,4.380209,4.380209,9.520238,9.520238,10.333452,10.333452,10.342548,10.342548,11.574351,11.574351,13.823180,13.823180,14.254782,14.254782,14.257204,14.257204,18.139428,18.139428,18.156457,18.156457,20.529305,20.529305,20.531528,20.531528,21.389778,21.389778,27.940721,27.940721
none,0.005010,0.575669,0.575669,0.575669,-9.734016,-9.734016,-7.992993,-7.992993,-2.338687,-2.338687,-2.304074,-2.304074,2.895992,2.895992,4.367674,4.367674,4.380225,4.380225,9.519951,9.519951,10.333420,10.333420,10.342516,10.342516,11.574323,11.574323,13.823326,13.823326,14.254827,14.254827,14.257249,14.257249,18.139362,18.139362,18.156390,18.156390,20.529295,20.529295,20.531518,20.531518,21.389840,21.389840,27.940799,27.940799
none,0.006013,0.575091,0.575091,0.575091,-9.734091,-9.734091,-7.992836,-7.992836,-2.338629,-2.338629,-2.304017,-2.304017,2.895944,2.895944,4.367694,4.367694,4.380244,4.380244,9.519601,9.519601,10.333381,10.333381,10.342477,10.342477,11.574290,11.574290,13.823506,13.823506,14.254882,14.254882,14.257305,14.257305,18.139281,18.139281,18.156310,18.156310,20.529282,20.529282,20.531506,20.531506,21.389915,21.389915,27.940894,27.940894
none,0.007015,0.574512,0.574512,0.574512,-9.734181,-9.734181,-7.992649,-7.992649,-2.338561,-2.338561,-2.303949,-2.303949,2.895888,2.895888,4.367716,4.367716,4.380267,4.380267,9.519187,9.519187,10.333336,10.333336,10.342430,10.342430,11.574250,11.574250,13.823717,13.823717,14.254946,14.254946,14.257370,14.257370,18.139186,18.139186,18.156214,18.156214,20.529268,20.529268,20.531491,20.531491,21.390005,21.390005,27.941007,27.941007
none,0.008017,0.573934,0.573934,0.573934,-9.734284,-9.734284,-7.992435,-7.992435,-2.338483,-2.338483,-2.303870,-2.303870,2.895823,2.895823,4.367743,4.367743,4.380294,4.380294,9.518710,9.518710,10.333283,10.333283,10.342377,10.342377,11.574204,11.574204,13.823961,13.823961,14.255021,14.255021,14.257445,14.257445,18.139077,18.139077,18.156104,18.156104,20.529251,20.529251,20.531475,20.531475,21.390108,21.390108,27.941136,27.941136
none,0.009019,0.573355,0.573355,0.573355,-9.734401,-9.734401,-7.992191,-7.992191,-2.338394,-2.338394,-2.303781,-2.303781,2.895749,2.895749,4.367772,4.367772,4.380324,4.380324,9.518168,9.518168,10.333223,10.333223,10.342316,10.342316,11.574152,11.574152,13.824238,13.824238,14.255105,14.255105,14.257530,14.257530,18.138952,18.138952,18.155979,18.155979,20.529232,20.529232,20.531456,20.531456,21.390225,21.390225,27.941283,27.941283
none,0.010021,0.572777,0.572777,0.572777,-9.734531,-9.734531,-7.991919,-7.991919,-2.338295,-2.338295,-2.303682,-2.303682,2.895666,2.895666,4.367806,4.367806,4.380357,4.380357,9.517564,9.517564,10.333156,10.333156,10.342249,10.342249,11.574094,11.574094,13.824547,13.824547,14.255199,14.255199,14.257626,14.257626,18.138814,18.138814,18.155839,18.155839,20.529211,20.529211,20.531435,20.531435,21.390356,21.390356,27.941447,27.941447
none,0.011023,0.572198,0.572198,0.572198,-9.734676,-9.734676,-7.991618,-7.991618,-2.338185,-2.338185,-2.303572,-2.303572,2.895575,2.895575,4.367842,4.367842,4.380394,4.380394,9.516896,9.516896,10.333082,10.333082,10.342174,10.342174,11.574030,11.574030,13.824888,13.824888,14.255304,14.255304,14.257731,14.257731,18.138660,18.138660,18.155685,18.155685,20.529187,20.529187,20.531412,20.531412,21.390500,21.390500,27.941629,27.941629
